sku,on_hand_qty
1000,65
1001,45
1002,14
1003,37
1004,27
1005,21
1006,74
1007,30
1008,40
1009,49
1010,33
1011,24
1012,10
1013,71
1014,14
1015,18
1016,32
1017,34
1018,33
1019,21
1020,89
1021,43
1022,14
1023,51
1024,20
1025,6
1026,4
1027,9
1028,0
1029,14
1030,66
1031,17
1032,13
1033,31
1034,11
1035,41
1036,57
1037,14
1038,14
1039,86
1040,7
1041,15
1042,81
1043,11
1044,17
1045,26
1046,34
1047,31
1048,32
1049,38
1050,17
1051,20
1052,6
1053,12
1054,2
1055,17
1056,47
1057,69
1058,25
1059,26
1060,26
1061,56
1062,34
1063,62
1064,12
1065,25
1066,9
1067,32
1068,22
1069,40
1070,8
1071,3
1072,112
1073,22
1074,21
1075,16
1076,78
1077,2
1078,60
1079,40
1080,11
1081,8
1082,14
1083,10
1084,17
1085,12
1086,15
1087,105
1088,14
1089,67
1090,48
1091,59
1092,25
1093,48
1094,10
1095,30
1096,36
1097,52
1098,80
1099,16
1100,33
1101,34
1102,21
1103,47
1104,28
1105,15
1106,9
1107,6
1108,16
1109,12
1110,26
1111,70
1112,21
1113,19
1114,17
1115,33
1116,10
1117,30
1118,93
1119,20
